tconst,numVotes,averageRating
tt0003309,10,6.1
tt0003310,24,5.6
tt0003311,242,6.5
tt0003316,9,6.9
tt0003317,13,7.3
tt0003323,15,7
tt0003330,61,6.6
tt0003337,17,6.3
tt0003345,11,6
tt0003355,6,4.8
tt0003360,74,5.3
tt0003362,5,6
tt0003379,6,4.2
tt0003386,8,8.5
tt0003399,196,5
tt0003417,20,5.1
tt0003419,1292,6.6
tt0003424,692,7.4
tt0003427,20,6.2
tt0003436,47,5.5
tt0003438,17,6.1
tt0003441,8,6.6
tt0003454,5,5.8
tt0003460,5,6.6
tt0003468,19,4.3
tt0003471,453,6.2
tt0003489,404,6.1
tt0003499,14,7.1
tt0003500,6,6.8
tt0003502,10,6.1
tt0003508,5,6.8
tt0003512,77,5.3
tt0003516,28,5.2
tt0003526,18,6.1
tt0003540,18,5.9
tt0003565,10,6.9
tt0003578,5,7
tt0003584,9,7.2
tt0003585,7,7
tt0003587,9,6.2
tt0003588,8,5.4
tt0003589,7,6.7
tt0003596,36,5.9
tt0003599,6,7
tt0003615,93,6.1
tt0003625,11,5.9
tt0003630,11,6
tt0003637,265,6.6
tt0003638,7,7
tt0003643,893,6.9
tt0003657,80,6.8
tt0003662,579,6.3
tt0003665,37,6.6
tt0003670,19,6.4
tt0003679,1076,5.5
tt0003698,15,7.1
tt0003699,16,5
tt0003724,9,6.4
tt0003733,745,5
tt0003734,182,5.2
tt0003735,15,5.9
tt0003740,2398,6.8
tt0003743,11,5.3
tt0003750,6,5.8
tt0003758,852,5.9
tt0003760,597,5.8
tt0003772,843,6.7
tt0003777,11,4.8
tt0003803,21,6.9
tt0003805,904,5.5
tt0003813,37,5
tt0003819,12,8.8
tt0003823,34,7.1
tt0003828,17,5.7
tt0003838,10,6.5
tt0003839,236,6.8
tt0003854,9,5.6
tt0003855,59,6.4
tt0003860,63,5.2
tt0003863,659,6
tt0003869,5,5.6
tt0003876,23,6.3
tt0003883,223,7.8
tt0003884,53,7.3
tt0003890,15,6.4
tt0003897,30,6.7
tt0003923,702,5.3
tt0003930,921,6.8
tt0003934,620,5.6
tt0003943,20,5
tt0003948,13,4.8
tt0003949,127,5.3
tt0003952,712,6.9
tt0003960,16,5.7
tt0003961,1039,5.7
tt0003969,157,5.4
tt0003972,6,4.5
tt0003973,148,6.2
tt0003978,5,4.2
tt0003980,7,5.6
tt0003982,6,5
tt0003996,5,8.4
tt0003998,20,5.7
tt0004002,19,6.3
tt0004007,527,5.8
tt0004008,2257,7.2
tt0004011,558,5.7
tt0004013,5,3.6
tt0004016,5,4.6
tt0004022,26,6.7
tt0004026,888,6.1
tt0004027,7,5.7
tt0004028,11,3.5
tt0004030,11,8
tt0004039,59,5.7
tt0004052,64,7
tt0004057,6,5.3
tt0004060,87,5.5
tt0004064,12,5.7
tt0004065,29,5.5
tt0004066,340,7.1
tt0004074,156,6.2
